location,date,inc
19,2023-06-03,0
19,2023-06-10,4
19,2023-06-17,2
19,2023-06-24,1
19,2023-07-01,2
19,2023-07-08,2
19,2023-07-15,0
19,2023-07-22,2
19,2023-07-29,0
19,2023-08-05,1
19,2023-08-12,0
19,2023-08-19,2
19,2023-08-26,2
19,2023-09-02,4
19,2023-09-09,1
19,2023-09-16,0
19,2023-09-23,0
19,2023-09-30,4
19,2023-10-07,3
19,2023-10-14,1
19,2023-10-21,4
19,2023-10-28,4
19,2023-11-04,10
19,2023-11-11,13
20,2022-09-03,2
20,2022-09-10,1
20,2022-09-17,0
20,2022-09-24,1
20,2022-10-01,3
20,2022-10-08,7
20,2022-10-15,4
20,2022-10-22,17
20,2022-10-29,20
20,2022-11-05,35
20,2022-11-12,45
20,2022-11-19,65
20,2022-11-26,156
20,2022-12-03,305
20,2022-12-10,261
20,2022-12-17,226
20,2022-12-24,185
20,2022-12-31,186
20,2023-01-07,126
20,2023-01-14,55
20,2023-01-21,41
20,2023-01-28,23
20,2023-02-04,12
20,2023-02-11,10
20,2023-02-18,3
20,2023-02-25,9
20,2023-03-04,4
20,2023-03-11,6
20,2023-03-18,8
20,2023-03-25,6
20,2023-04-01,9
20,2023-04-08,5
20,2023-04-15,8
20,2023-04-22,2
20,2023-04-29,2
20,2023-05-06,3
20,2023-05-13,2
20,2023-05-20,5
20,2023-05-27,3
20,2023-06-03,4
20,2023-06-10,4
20,2023-06-17,2
20,2023-06-24,2
20,2023-07-01,3
20,2023-07-08,1
20,2023-07-15,4
20,2023-07-22,0
20,2023-07-29,2
20,2023-08-05,1
20,2023-08-12,2
20,2023-08-19,1
20,2023-08-26,2
20,2023-09-02,3
20,2023-09-09,7
20,2023-09-16,3
20,2023-09-23,4
20,2023-09-30,6
20,2023-10-07,10
20,2023-10-14,4
20,2023-10-21,7
20,2023-10-28,5
20,2023-11-04,6
20,2023-11-11,10
21,2022-09-03,7
21,2022-09-10,18
21,2022-09-17,5
21,2022-09-24,10
21,2022-10-01,4
21,2022-10-08,7
21,2022-10-15,23
21,2022-10-22,13
21,2022-10-29,66
21,2022-11-05,124
21,2022-11-12,223
21,2022-11-19,291
21,2022-11-26,521
21,2022-12-03,852
21,2022-12-10,710
21,2022-12-17,437
21,2022-12-24,281
21,2022-12-31,243
21,2023-01-07,133
21,2023-01-14,63
21,2023-01-21,35
21,2023-01-28,34
21,2023-02-04,16
21,2023-02-11,29
21,2023-02-18,22
21,2023-02-25,11
21,2023-03-04,12
21,2023-03-11,15
21,2023-03-18,26
21,2023-03-25,14
21,2023-04-01,16
21,2023-04-08,19
21,2023-04-15,14
21,2023-04-22,12
21,2023-04-29,4
21,2023-05-06,16
21,2023-05-13,15
21,2023-05-20,11
21,2023-05-27,11
21,2023-06-03,5
21,2023-06-10,10
21,2023-06-17,8
21,2023-06-24,6
21,2023-07-01,5
21,2023-07-08,8
21,2023-07-15,6
21,2023-07-22,3
21,2023-07-29,9
21,2023-08-05,9
21,2023-08-12,5
21,2023-08-19,12
21,2023-08-26,7
21,2023-09-02,10
21,2023-09-09,19
21,2023-09-16,5
21,2023-09-23,13
21,2023-09-30,14
21,2023-10-07,12
21,2023-10-14,23
21,2023-10-21,20
21,2023-10-28,23
21,2023-11-04,21
21,2023-11-11,37
22,2022-09-03,8
22,2022-09-10,15
22,2022-09-17,20
22,2022-09-24,20
22,2022-10-01,39
22,2022-10-08,41
22,2022-10-15,69
22,2022-10-22,97
22,2022-10-29,176
22,2022-11-05,180
22,2022-11-12,167
22,2022-11-19,173
22,2022-11-26,217
22,2022-12-03,297
22,2022-12-10,277
22,2022-12-17,139
22,2022-12-24,155
22,2022-12-31,166
22,2023-01-07,172
22,2023-01-14,85
22,2023-01-21,83
22,2023-01-28,42
22,2023-02-04,34
22,2023-02-11,50
22,2023-02-18,33
22,2023-02-25,22
22,2023-03-04,25
22,2023-03-11,22
22,2023-03-18,21
22,2023-03-25,24
22,2023-04-01,27
22,2023-04-08,18
22,2023-04-15,14
22,2023-04-22,25
22,2023-04-29,21
22,2023-05-06,10
22,2023-05-13,18
22,2023-05-20,17
22,2023-05-27,11
22,2023-06-03,14
22,2023-06-10,14
22,2023-06-17,10
22,2023-06-24,8
22,2023-07-01,16
22,2023-07-08,13
22,2023-07-15,6
22,2023-07-22,7
22,2023-07-29,12
22,2023-08-05,11
22,2023-08-12,7
22,2023-08-19,11
22,2023-08-26,11
22,2023-09-02,14
22,2023-09-09,11
22,2023-09-16,13
22,2023-09-23,18
22,2023-09-30,16
22,2023-10-07,19
22,2023-10-14,28
22,2023-10-21,31
22,2023-10-28,46
22,2023-11-04,40
22,2023-11-11,65
23,2022-09-03,0
23,2022-09-10,0
23,2022-09-17,0
23,2022-09-24,0
23,2022-10-01,0
23,2022-10-08,1
23,2022-10-15,0
23,2022-10-22,0
23,2022-10-29,3
23,2022-11-05,3
23,2022-11-12,8
23,2022-11-19,14
23,2022-11-26,33
23,2022-12-03,100
23,2022-12-10,119
23,2022-12-17,183
23,2022-12-24,211
23,2022-12-31,192
23,2023-01-07,126
23,2023-01-14,57
23,2023-01-21,29
23,2023-01-28,14
23,2023-02-04,10
23,2023-02-11,6
23,2023-02-18,4
23,2023-02-25,0
23,2023-03-04,4
23,2023-03-11,0
23,2023-03-18,5
23,2023-03-25,1
23,2023-04-01,4
23,2023-04-08,3
23,2023-04-15,0
23,2023-04-22,5
23,2023-04-29,0
23,2023-05-06,2
23,2023-05-13,4
23,2023-05-20,5
23,2023-05-27,2
23,2023-06-03,3
23,2023-06-10,1
23,2023-06-17,0
23,2023-06-24,1
23,2023-07-01,2
23,2023-07-08,3
23,2023-07-15,0
23,2023-07-22,1
23,2023-07-29,3
23,2023-08-05,2
23,2023-08-12,0
23,2023-08-19,2
23,2023-08-26,0
23,2023-09-02,0
23,2023-09-09,0
23,2023-09-16,0
23,2023-09-23,1
23,2023-09-30,0
23,2023-10-07,5
23,2023-10-14,4
23,2023-10-21,2
23,2023-10-28,4
23,2023-11-04,1
23,2023-11-11,4
24,2022-09-03,0
24,2022-09-10,4
24,2022-09-17,8
24,2022-09-24,3
24,2022-10-01,7
24,2022-10-08,17
24,2022-10-15,27
